Month;Day;Name;Source
2;23;San Policarpo, vescovo e martire;"https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/i18n/it.json; https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/propriumdesanctis_1970.json"
2;27;San Gregorio di Narek, abate e dottore della Chiesa;"https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/decrees/decrees.json; https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/decrees/i18n/it.json"
3;4;San Casimiro;"https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/i18n/it.json; https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/propriumdesanctis_1970.json"
3;7;Sante Perpetua e Felicita, martiri;"https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/i18n/it.json; https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/propriumdesanctis_1970.json"
3;8;San Giovanni di Dio, religioso;"https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/i18n/it.json; https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/propriumdesanctis_1970.json"
3;9;Santa Francesca Romana, religiosa;"https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/i18n/it.json; https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/propriumdesanctis_1970.json"
3;17;San Patrizio, vescovo;"https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/i18n/it.json; https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/propriumdesanctis_1970.json"
3;18;San Cirillo di Gerusalemme, vescovo e dottore;"https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/i18n/it.json; https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/propriumdesanctis_1970.json"
3;19;San Giuseppe Sposo della Beata Vergine Maria;"https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/i18n/it.json; https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/propriumdesanctis_1970.json"
3;23;San Turibio di Mongrovejo, vescovo;"https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/i18n/it.json; https://github.com/Liturgical-Calendar/LiturgicalCalendarAPI/blob/1bb2b7c503a701a9713b2f881795afe46044af3b/jsondata/sourcedata/rite/roman/missals/propriumdesanctis_1970/propriumdesanctis_1970.json"
