"Path","Width","Height","Bytes","Sha256","DuplicateCount","MsBuildIncluded","Classification","References"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.png","44","44","2854","9F5CE2BA3A34D7856A3048B8CB600B222682FB7FF73F349AA4D42F58844FEB33","4","True","direct-reference","scripts/TrackMeUp.ps1;TrackMeUp/bin/ARM64/Debug/net10.0-windows10.0.19041.0/win-arm64/AppxManifest.xml;TrackMeUp/bin/x64/Debug/net10.0-windows10.0.19041.0/win-x64/AppxManifest.xml;TrackMeUp/bin/x64/Release/net10.0-windows10.0.19041.0/win-x64/AppxManifest.xml;TrackMeUp/bin/x86/Debug/net10.0-windows10.0.19041.0/win-x86/AppxManifest.xml;TrackMeUp/MainWindow.xaml;TrackMeUp/obj/ARM64/Debug/net10.0-windows10.0.19041.0/win-arm64/MainWindow.xaml;TrackMeUp/obj/ARM64/Debug/net10.0-windows10.0.19041.0/win-arm64/ReportsWindow.xaml;TrackMeUp/obj/x64/Debug/net10.0-windows10.0.19041.0/win-x64/MainWindow.xaml;TrackMeUp/obj/x64/Debug/net10.0-windows10.0.19041.0/win-x64/ReportsWindow.xaml;TrackMeUp/obj/x64/Release/net10.0-windows10.0.19041.0/win-x64/MainWindow.xaml;TrackMeUp/obj/x64/Release/net10.0-windows10.0.19041.0/win-x64/ReportsWindow.xaml;TrackMeUp/obj/x86/Debug/net10.0-windows10.0.19041.0/win-x86/MainWindow.xaml;TrackMeUp/obj/x86/Debug/net10.0-windows10.0.19041.0/win-x86/ReportsWindow.xaml;TrackMeUp/ReportsWindow.xaml"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.scale-100_altform-colorful_theme-dark.png","44","44","2854","9F5CE2BA3A34D7856A3048B8CB600B222682FB7FF73F349AA4D42F58844FEB33","4","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.scale-100_altform-colorful_theme-light.png","44","44","2854","9F5CE2BA3A34D7856A3048B8CB600B222682FB7FF73F349AA4D42F58844FEB33","4","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.scale-100.png","44","44","2854","9F5CE2BA3A34D7856A3048B8CB600B222682FB7FF73F349AA4D42F58844FEB33","4","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.scale-125_altform-colorful_theme-dark.png","55","55","4008","74EDBB4AFBA46F75CBE200C2CC77DDA53EE42EFC4AE53B6677CBDC90ECC10201","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.scale-125_altform-colorful_theme-light.png","55","55","4008","74EDBB4AFBA46F75CBE200C2CC77DDA53EE42EFC4AE53B6677CBDC90ECC10201","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.scale-125.png","55","55","4008","74EDBB4AFBA46F75CBE200C2CC77DDA53EE42EFC4AE53B6677CBDC90ECC10201","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.scale-150_altform-colorful_theme-dark.png","66","66","5387","B9B2DC46EBB0C32CC19D0D5433AB7E9E89D31D1340B6FA4409D94E93C0CFD64F","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.scale-150_altform-colorful_theme-light.png","66","66","5387","B9B2DC46EBB0C32CC19D0D5433AB7E9E89D31D1340B6FA4409D94E93C0CFD64F","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.scale-150.png","66","66","5387","B9B2DC46EBB0C32CC19D0D5433AB7E9E89D31D1340B6FA4409D94E93C0CFD64F","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.scale-200_altform-colorful_theme-dark.png","88","88","8468","9AC06E8AE2B9D211D8BAB58B49EFD0518B0021C40B85EE945AEBA8DDA68B7C6C","4","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.scale-200_altform-colorful_theme-light.png","88","88","8468","9AC06E8AE2B9D211D8BAB58B49EFD0518B0021C40B85EE945AEBA8DDA68B7C6C","4","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.scale-200.png","88","88","8468","9AC06E8AE2B9D211D8BAB58B49EFD0518B0021C40B85EE945AEBA8DDA68B7C6C","4","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.scale-400_altform-colorful_theme-dark.png","176","176","26832","56D7235DA5F321C8AD3C01F2AC6D4D0C957423A17C45538E6EDDB26319383866","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.scale-400_altform-colorful_theme-light.png","176","176","26832","56D7235DA5F321C8AD3C01F2AC6D4D0C957423A17C45538E6EDDB26319383866","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.scale-400.png","176","176","26832","56D7235DA5F321C8AD3C01F2AC6D4D0C957423A17C45538E6EDDB26319383866","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.targetsize-16_altform-lightunplated.png","16","16","683","E99416CC7058D35F6297BF99B751A0526FA8A976D032091F4C15A08B66F60ED1","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.targetsize-16_altform-unplated.png","16","16","683","E99416CC7058D35F6297BF99B751A0526FA8A976D032091F4C15A08B66F60ED1","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.targetsize-16.png","16","16","683","E99416CC7058D35F6297BF99B751A0526FA8A976D032091F4C15A08B66F60ED1","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.targetsize-20_altform-lightunplated.png","20","20","890","9DE08BA5A68483EB187D556AC1D8E1A67CEF856DCC61D20460CA471A86A38268","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.targetsize-20_altform-unplated.png","20","20","890","9DE08BA5A68483EB187D556AC1D8E1A67CEF856DCC61D20460CA471A86A38268","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.targetsize-20.png","20","20","890","9DE08BA5A68483EB187D556AC1D8E1A67CEF856DCC61D20460CA471A86A38268","3","True","package-platform-variant","System.Collections.Hashtable"
"TrackMeUp/Assets/TrackMeUpSquare44Logo.targetsize-24_altform-lightunplated.png","24","24","1203","EF7936F07E92C4A335610AF6A464B6E137050F7B29681E4773C01B9EAB88F40E","3","True","package-platform-variant","System.Collections.Hashtable"
